time;created;id;aircraft;position;vel;status
1703096296479617;1703096296479474;0x5c92fb;wt9;[1540, 1540];0;OK
1703096296577160;1703096296577017;0x1923dacc;wt9;[1540, 1540];0;OK
1703096296670849;1703096296670711;0x3ddf5b10;wt9;[1540, 1540];0;OK
1703096296771742;1703096296771473;0x75266045;wt9;[1540, 1540];0;OK
1703096296872908;1703096296872385;0x8ef92fd3;wt9;[1540, 1540];0;OK
1703096296972097;1703096296971838;0xf000dc61;wt9;[1540, 1540];0;OK
1703096297072191;1703096297072049;0x87ff7c4c;wt9;[1540, 1540];0;OK
1703096297171107;1703096297170927;0xd8efd9ce;wt9;[1540, 1540];0;OK
1703096297273120;1703096297272996;0xe8a25ff9;wt9;[1540, 1540];0;OK
1703096297371148;1703096297371037;0x14320dda;wt9;[1540, 1540];0;OK
1703096297471669;1703096297471475;0x4e3e8247;wt9;[1540, 1540];0;OK
1703096297571814;1703096297571711;0xfce9052;wt9;[1540, 1540];0;OK
1703096297671272;1703096297671135;0x9d2593f5;wt9;[1540, 1540];0;OK
1703096297772663;1703096297772280;0xb7a5ba0a;wt9;[1540, 1540];0;OK
1703096297870908;1703096297870792;0xaafa6c10;wt9;[1540, 1540];0;OK
1703096297972207;1703096297972016;0x65554132;wt9;[1540, 1540];0;OK
1703096298072238;1703096298072091;0xc0da6a1f;wt9;[1540, 1540];0;OK
1703096298171066;1703096298170897;0xe3c0741;wt9;[1540, 1540];0;OK
1703096298270986;1703096298270829;0x4ce36335;wt9;[1540, 1540];0;OK
1703096298371729;1703096298371556;0x1feee5f8;wt9;[1540, 1540];0;OK
1703096298470895;1703096298470798;0x9569093a;wt9;[1540, 1540];0;OK
1703096298571364;1703096298571272;0x9b3fcc48;wt9;[1540, 1540];0;OK
1703096298672639;1703096298672392;0x99f34ab8;wt9;[1540, 1540];0;OK
1703096298772467;1703096298772271;0x3138d953;wt9;[1540, 1540];0;OK
1703096298872135;1703096298871860;0x5fdeeb0c;wt9;[1540, 1540];0;OK
1703096298971564;1703096298971408;0xfc5a1673;wt9;[1540, 1540];0;OK
1703096299073757;1703096299073588;0xb0f6facb;wt9;[1540, 1540];0;OK
1703096299171350;1703096299171224;0x55eecad6;wt9;[1540, 1540];0;OK
1703096299271165;1703096299271028;0x7f381a72;wt9;[1540, 1540];0;OK
1703096299370891;1703096299370750;0xe1367abc;wt9;[1540, 1540];0;OK
1703096299472459;1703096299472150;0x29a8cd1;wt9;[1540, 1540];0;OK
1703096299573681;1703096299573536;0x4b2f192;wt9;[1540, 1540];0;OK
1703096299672715;1703096299672535;0x24902fc1;wt9;[1540, 1540];0;OK
1703096299771095;1703096299770985;0x3d50fdae;wt9;[1540, 1540];0;OK
1703096299871078;1703096299870917;0xd2adef7e;wt9;[1540, 1540];0;OK
1703096299976945;1703096299976602;0x39ff5162;wt9;[1540, 1540];0;OK
1703096300071685;1703096300071496;0x480e9124;wt9;[1540, 1540];0;OK
1703096300171725;1703096300171461;0x741da2ad;wt9;[1540, 1540];0;OK
1703096300272105;1703096300271929;0xb4c345dc;wt9;[1540, 1540];0;OK
1703096300372349;1703096300372200;0x971bc9d1;wt9;[1540, 1540];0;OK
1703096300471269;1703096300471122;0x5b209034;wt9;[1540, 1540];0;OK
1703096300571397;1703096300571256;0x4e006aec;wt9;[1540, 1540];0;OK
1703096300671153;1703096300671027;0xf3e01434;wt9;[1540, 1540];0;OK
1703096300771356;1703096300771219;0x99c86b31;wt9;[1540, 1540];0;OK
1703096300871173;1703096300871040;0xa92b0aef;wt9;[1540, 1540];0;OK
1703096300971211;1703096300971077;0x4667cc55;wt9;[1540, 1540];0;OK
1703096301071212;1703096301071061;0x78abe2b1;wt9;[1540, 1540];0;OK
1703096301171776;1703096301171530;0xf059a71f;wt9;[1540, 1540];0;OK
1703096301271018;1703096301270893;0x27e084a5;wt9;[1540, 1540];0;OK
1703096301370726;1703096301370618;0x7c2a9724;wt9;[1540, 1540];0;OK
1703096301472875;1703096301472691;0x473be0f6;wt9;[1540, 1540];0;OK
1703096301571335;1703096301571195;0xf0f4f252;wt9;[1540, 1540];0;OK
1703096301671243;1703096301671099;0x3cd08054;wt9;[1540, 1540];0;OK
1703096301771463;1703096301771332;0x9b38f1a2;wt9;[1540, 1540];0;OK
1703096301871035;1703096301870915;0xc1836249;wt9;[1540, 1540];0;OK
1703096301971362;1703096301971224;0x83582729;wt9;[1540, 1540];0;OK
1703096302071121;1703096302070974;0x97e84b59;wt9;[1540, 1540];0;OK
1703096302171098;1703096302170947;0xf721a299;wt9;[1540, 1540];0;OK
1703096302270999;1703096302270860;0xd3fe5bd8;wt9;[1540, 1540];0;OK
1703096302371888;1703096302371687;0xc7d81f4a;wt9;[1540, 1540];0;OK
1703096302472653;1703096302472384;0xd467d3b8;wt9;[1540, 1540];0;OK
1703096302572133;1703096302571932;0xd5d73698;wt9;[1540, 1540];0;OK
1703096302671071;1703096302670985;0x77c55aac;wt9;[1540, 1540];0;OK
1703096302771173;1703096302771038;0x998019ff;wt9;[1540, 1540];0;OK
1703096302871129;1703096302870994;0x8f6ae4e9;wt9;[1540, 1540];0;OK
1703096302971150;1703096302971016;0x46df0787;wt9;[1540, 1540];0;OK
1703096303071133;1703096303070986;0x1a314bff;wt9;[1540, 1540];0;OK
1703096303171297;1703096303171144;0x84ce3d7a;wt9;[1540, 1540];0;OK
1703096303270969;1703096303270851;0x6cfbf8bd;wt9;[1540, 1540];0;OK
1703096303372224;1703096303371986;0x6af7d523;wt9;[1540, 1540];0;OK
1703096303471696;1703096303471522;0x6a943763;wt9;[1540, 1540];0;OK
1703096303572883;1703096303572582;0xf7d0ebd;wt9;[1540, 1540];0;OK
1703096303671776;1703096303671603;0xf3bc41ca;wt9;[1540, 1540];0;OK
1703096303771061;1703096303770930;0xa0edcb54;wt9;[1540, 1540];0;OK
1703096303871121;1703096303870975;0xf62a6762;wt9;[1540, 1540];0;OK
1703096303972469;1703096303972256;0xb5484046;wt9;[1540, 1540];0;OK
1703096304071914;1703096304071710;0x5e4daaf3;wt9;[1540, 1540];0;OK
1703096304171374;1703096304171239;0xebe72ab6;wt9;[1540, 1540];0;OK
1703096304271208;1703096304271052;0xea538c2b;wt9;[1540, 1540];0;OK
1703096304371045;1703096304370909;0xefd46c39;wt9;[1540, 1540];0;OK
1703096304470883;1703096304470773;0x64038e8e;wt9;[1540, 1540];0;OK
1703096304571046;1703096304570917;0xbc652982;wt9;[1540, 1540];0;OK
1703096304671777;1703096304671658;0x247a24d2;wt9;[1540, 1540];0;OK
1703096304774075;1703096304773753;0xb8fb17bc;wt9;[1540, 1540];0;OK
1703096304871961;1703096304871721;0xa4d62e95;wt9;[1540, 1540];0;OK
1703096304970785;1703096304970699;0xd68f6ebc;wt9;[1540, 1540];0;OK
1703096305070715;1703096305070592;0x58ba98c;wt9;[1540, 1540];0;OK
1703096305171298;1703096305171126;0x78059a3c;wt9;[1540, 1540];0;OK
1703096305271984;1703096305271824;0x3a18b9ef;wt9;[1540, 1540];0;OK
1703096305371284;1703096305371121;0xf8fe045e;wt9;[1540, 1540];0;OK
1703096305471032;1703096305470893;0xabc93ddf;wt9;[1540, 1540];0;OK
1703096305571282;1703096305571112;0xf571260f;wt9;[1540, 1540];0;OK
1703096305671284;1703096305671142;0x5e0fa0e9;wt9;[1540, 1540];0;OK
1703096305771018;1703096305770898;0x117b00c9;wt9;[1540, 1540];0;OK
1703096305875188;1703096305875007;0x366275d4;wt9;[1540, 1540];0;OK
1703096305970587;1703096305970507;0x47bc7a6f;wt9;[1540, 1540];0;OK
1703096306072130;1703096306071854;0x3e737b8b;wt9;[1540, 1540];0;OK
1703096306171461;1703096306171336;0x128b4166;wt9;[1540, 1540];0;OK
1703096306273766;1703096306273478;0x74bf2ec6;wt9;[1540, 1540];0;OK
1703096306371147;1703096306371027;0x7c303485;wt9;[1540, 1540];0;OK
1703096306471017;1703096306470807;0x8dcd81d6;wt9;[1540, 1540];0;OK
1703096306570813;1703096306570664;0xa2ed8de;wt9;[1540, 1540];0;OK
1703096306671846;1703096306671629;0x4a6823c5;wt9;[1540, 1540];0;OK
1703096306771768;1703096306771604;0xa00bb7a7;wt9;[1540, 1540];0;OK
1703096306871066;1703096306870950;0xfc548700;wt9;[1540, 1540];0;OK
1703096306970833;1703096306970691;0x2c04301c;wt9;[1540, 1540];0;OK
1703096307071050;1703096307070925;0x66d05ca1;wt9;[1540, 1540];0;OK
1703096307175842;1703096307173701;0xfd516f6a;wt9;[1540, 1540];0;OK
1703096307271579;1703096307271432;0x76de84ea;wt9;[1540, 1540];0;OK
1703096307371768;1703096307371616;0xa5fdd35f;wt9;[1540, 1540];0;OK
1703096307471547;1703096307471331;0x485de9b1;wt9;[1540, 1540];0;OK
1703096307571142;1703096307570965;0x31dd725b;wt9;[1540, 1540];0;OK
1703096307670918;1703096307670761;0xc7aa0de4;wt9;[1540, 1540];0;OK
1703096307770856;1703096307770675;0x61d30394;wt9;[1540, 1540];0;OK
1703096307871241;1703096307871089;0x9e66ea34;wt9;[1540, 1540];0;OK
1703096307970898;1703096307970748;0x30e65988;wt9;[1540, 1540];0;OK
1703096308070838;1703096308070708;0x4803e67d;wt9;[1540, 1540];0;OK
1703096308171042;1703096308170899;0xc6d85eda;wt9;[1540, 1540];0;OK
1703096308272567;1703096308272327;0xba73d455;wt9;[1540, 1540];0;OK
1703096308371729;1703096308371564;0x174856f9;wt9;[1540, 1540];0;OK
1703096308470902;1703096308470776;0xc85ac4b1;wt9;[1540, 1540];0;OK
1703096308571590;1703096308571440;0xc672155b;wt9;[1540, 1540];0;OK
1703096308672074;1703096308671887;0x9fc78743;wt9;[1540, 1540];0;OK
1703096308771397;1703096308771250;0xd24202f2;wt9;[1540, 1540];0;OK
1703096308871399;1703096308871214;0x4e857e36;wt9;[1540, 1540];0;OK
1703096308971456;1703096308971030;0x3b1db6c4;wt9;[1540, 1540];0;OK
1703096309071450;1703096309071317;0x3eb91746;wt9;[1540, 1540];0;OK
1703096309171397;1703096309171238;0x6926eb26;wt9;[1540, 1540];0;OK
1703096309273176;1703096309273014;0xd1fcc430;wt9;[1540, 1540];0;OK
1703096309378511;1703096309377921;0xf663428a;wt9;[1540, 1540];0;OK
1703096309472712;1703096309472504;0xede3b1cb;wt9;[1540, 1540];0;OK
1703096309571518;1703096309571321;0x9c13460c;wt9;[1540, 1540];0;OK
1703096309671498;1703096309671261;0x632b9d70;wt9;[1540, 1540];0;OK
1703096309771140;1703096309770934;0x10b9e69a;wt9;[1540, 1540];0;OK
1703096309871355;1703096309871165;0x725eab7d;wt9;[1540, 1540];0;OK
1703096309971582;1703096309971415;0x96dd1862;wt9;[1540, 1540];0;OK
1703096310071151;1703096310071006;0x46f76310;wt9;[1540, 1540];0;OK
1703096310171193;1703096310171050;0xcc2c6460;wt9;[1540, 1540];0;OK
1703096310271184;1703096310270997;0x23f1a1f5;wt9;[1540, 1540];0;OK
1703096310371487;1703096310371279;0x1a741454;wt9;[1540, 1540];0;OK
1703096310471644;1703096310471477;0x91d354ce;wt9;[1540, 1540];0;OK
1703096310572465;1703096310572245;0xa1bff5ea;wt9;[1540, 1540];0;OK
1703096310671575;1703096310671396;0x8272c58;wt9;[1540, 1540];0;OK
1703096310771160;1703096310770953;0x34b0cca8;wt9;[1540, 1540];0;OK
1703096310871455;1703096310871271;0xef2695ff;wt9;[1540, 1540];0;OK
1703096310971543;1703096310971357;0xb66e3796;wt9;[1540, 1540];0;OK
1703096311071253;1703096311071115;0x8947ec41;wt9;[1540, 1540];0;OK
1703096311172864;1703096311172554;0xe0671104;wt9;[1540, 1540];0;OK
1703096311272060;1703096311271905;0xfb5e4f6c;wt9;[1540, 1540];0;OK
1703096311371716;1703096311371509;0x1f3b3d61;wt9;[1540, 1540];0;OK
1703096311471698;1703096311471473;0x4ca35193;wt9;[1540, 1540];0;OK
1703096311571041;1703096311570927;0x594bb6f3;wt9;[1540, 1540];0;OK
1703096311670908;1703096311670790;0x59acaf89;wt9;[1540, 1540];0;OK
1703096311771082;1703096311770944;0x608c44ea;wt9;[1540, 1540];0;OK
1703096311871268;1703096311871129;0xcff28c62;wt9;[1540, 1540];0;OK
1703096311971320;1703096311971156;0xc712a937;wt9;[1540, 1540];0;OK
1703096312071118;1703096312070959;0x25816e99;wt9;[1540, 1540];0;OK
1703096312171397;1703096312171045;0xac3ff445;wt9;[1540, 1540];0;OK
1703096312271059;1703096312270940;0x2d394996;wt9;[1540, 1540];0;OK
1703096312371024;1703096312370886;0x37a8cc9c;wt9;[1540, 1540];0;OK
1703096312471068;1703096312470896;0x34721deb;wt9;[1540, 1540];0;OK
1703096312571231;1703096312571080;0x61bb402f;wt9;[1540, 1540];0;OK
1703096312671027;1703096312670833;0xba51c462;wt9;[1540, 1540];0;OK
1703096312771155;1703096312771017;0x2a2b5608;wt9;[1540, 1540];0;OK
1703096312871229;1703096312871056;0xaf99e965;wt9;[1540, 1540];0;OK
1703096312971274;1703096312971112;0xa91c3ed9;wt9;[1540, 1540];0;OK
1703096313071109;1703096313070946;0x6fc9730d;wt9;[1540, 1540];0;OK
1703096313171247;1703096313171019;0x1bab48d3;wt9;[1540, 1540];0;OK
1703096313271042;1703096313270869;0x6a6e3446;wt9;[1540, 1540];0;OK
1703096313371332;1703096313371138;0x570baff5;wt9;[1540, 1540];0;OK
1703096313471140;1703096313471005;0x44b62cf0;wt9;[1540, 1540];0;OK
1703096313570668;1703096313570545;0x26203560;wt9;[1540, 1540];0;OK
1703096313671915;1703096313671780;0x76c87cc8;wt9;[1540, 1540];0;OK
1703096313771831;1703096313771710;0x33c265c;wt9;[1540, 1540];0;OK
1703096313870667;1703096313870557;0xa5786ff5;wt9;[1540, 1540];0;OK
1703096313970942;1703096313970801;0x26c68b16;wt9;[1540, 1540];0;OK
1703096314071090;1703096314070917;0x187f8dba;wt9;[1540, 1540];0;OK
1703096314171183;1703096314171008;0x35d4b0f8;wt9;[1540, 1540];0;OK
1703096314271861;1703096314271694;0x5360a6c0;wt9;[1540, 1540];0;OK
1703096314371215;1703096314371080;0x98817d09;wt9;[1540, 1540];0;OK
1703096314471131;1703096314470995;0x72e199e6;wt9;[1540, 1540];0;OK
1703096314571133;1703096314570997;0xca539ea6;wt9;[1540, 1540];0;OK
1703096314670911;1703096314670806;0x3aff3c0f;wt9;[1540, 1540];0;OK
1703096314770692;1703096314770584;0xf7a1af98;wt9;[1540, 1540];0;OK
1703096314871671;1703096314871434;0x143bf2ab;wt9;[1540, 1540];0;OK
1703096314971505;1703096314971308;0x78db809c;wt9;[1540, 1540];0;OK
1703096315072358;1703096315072094;0x14db3962;wt9;[1540, 1540];0;OK
1703096315171741;1703096315171533;0xc282fa8c;wt9;[1540, 1540];0;OK
1703096315270945;1703096315270843;0x237ca821;wt9;[1540, 1540];0;OK
1703096315371633;1703096315371477;0x7747ef4;wt9;[1540, 1540];0;OK
1703096315470957;1703096315470803;0x203313a0;wt9;[1540, 1540];0;OK
1703096315570941;1703096315570830;0xfa648971;wt9;[1540, 1540];0;OK
1703096315670941;1703096315670813;0x78cc1e65;wt9;[1540, 1540];0;OK
1703096315771071;1703096315770905;0xc5c59e24;wt9;[1540, 1540];0;OK
1703096315870783;1703096315870687;0x59411121;wt9;[1540, 1540];0;OK
1703096315970902;1703096315970770;0x6b636bdb;wt9;[1540, 1540];0;OK
1703096316070932;1703096316070784;0x460eb9dc;wt9;[1540, 1540];0;OK
1703096316171384;1703096316171192;0xc23d3fc7;wt9;[1540, 1540];0;OK
1703096316271508;1703096316271340;0xa6dcbe0f;wt9;[1540, 1540];0;OK
1703096316372066;1703096316371731;0xc4e96f62;wt9;[1540, 1540];0;OK
