time;created;id;aircraft;position;vel;status;inspector_UAV;inspector_UAV_position
1703096323724338;1703096323268960;0xc8fb0842;wt5;[770, 770];0;OK;uav2;[1008.3170562989158, 588.1102179779516]
1703096347768195;1703096347213990;0xec8d6fa5;wt2;[770, 0];0;OK;uav3;[792.4272378922217, 298.3896539677011]
1703096402512626;1703096402157003;0x8fec440d;wt1;[0, 0];0;OK;uav3;[276.18819174571513, 116.90766538210711]
1703096492612649;1703096305970507;0x47bc7a6f;wt9;[1540, 1540];0;OK;uav1;[1245.135659435487, 1494.0535743131438]
1703096545265864;1703096477411427;0x1ebdfce2;wt6;[1540, 770];0;OK;uav2;[1224.5252308406514, 667.0357847754333]
1703096545536368;1703096341281343;0xd03155a;wt8;[770, 1540];0;OK;uav1;[910.7545239695727, 972.2335351835553]
