time;created;uav;uav_position;flying_distance;visited_wt
1703094457376852;1703094457376812;uav3;[570, 770];0.0;0
1703094457475555;1703094457475518;uav3;[570, 770];0.0;0
1703094457574885;1703094457574860;uav3;[570, 770];0.0;0
1703094457676401;1703094457676390;uav3;[570, 770];0.0;0
1703094457772896;1703094457772886;uav3;[570, 770];0.0;0
1703094457875857;1703094457875828;uav3;[570, 770];0.0;0
1703094457977959;1703094457977921;uav3;[570, 770];0.0;0
1703094458075546;1703094458075507;uav3;[570, 770];0.0;0
1703094458173545;1703094458173533;uav3;[570, 770];0.0;0
1703094458272864;1703094458272854;uav3;[570, 770];0.0;0
1703094458373884;1703094458373865;uav3;[570, 770];0.0;0
1703094458473858;1703094458473841;uav3;[570, 770];0.0;0
1703094458575378;1703094458575348;uav3;[570, 770];0.0;0
1703094458674228;1703094458674212;uav3;[570, 770];0.0;0
1703094458773777;1703094458773755;uav3;[570, 770];0.0;0
1703094458873516;1703094458873500;uav3;[570, 770];0.0;0
1703094458974523;1703094458974493;uav3;[570, 770];0.0;0
1703094459074074;1703094459074057;uav3;[570, 770];0.0;0
1703094459173445;1703094459173429;uav3;[570, 770];0.0;0
1703094459273754;1703094459273733;uav3;[570, 770];0.0;0
1703094459373544;1703094459373526;uav3;[570, 770];0.0;0
1703094459473178;1703094459473167;uav3;[570, 770];0.0;0
1703094459573499;1703094459573481;uav3;[570, 770];0.0;0
1703094459673672;1703094459673648;uav3;[570, 770];0.0;0
1703094459775124;1703094459775094;uav3;[570, 770];0.0;0
1703094459874987;1703094459874956;uav3;[570, 770];0.0;0
1703094459975015;1703094459974986;uav3;[570, 770];0.0;0
1703094460075808;1703094460075776;uav3;[570, 770];0.0;0
1703094460174414;1703094460174393;uav3;[570, 770];0.0;0
1703094460274104;1703094460274083;uav3;[570, 770];0.0;0
1703094460374250;1703094460374223;uav3;[570, 770];0.0;0
1703094460473232;1703094460473221;uav3;[570, 770];0.0;0
1703094460573672;1703094460573655;uav3;[570, 770];0.0;0
1703094460674256;1703094460674239;uav3;[570, 770];0.0;0
1703094460773831;1703094460773811;uav3;[570, 770];0.0;0
1703094460874860;1703094460874830;uav3;[570, 770];0.0;0
1703094460973672;1703094460973661;uav3;[570, 770];0.0;0
1703094461072752;1703094461072741;uav3;[570, 770];0.0;0
1703094461173777;1703094461173753;uav3;[570, 770];0.0;0
1703094461274212;1703094461274190;uav3;[570, 770];0.0;0
1703094461373588;1703094461373574;uav3;[570, 770];0.0;0
1703094461473877;1703094461473857;uav3;[570, 770];0.0;0
1703094461574025;1703094461574005;uav3;[570, 770];0.0;0
