time;created;uav;uav_position;flying_distance;visited_wt
1703094456853896;1703094456853883;uav1;[300, 770];0.0;0
1703094456948975;1703094456948960;uav1;[300, 770];0.0;0
1703094457045520;1703094457045510;uav1;[300, 770];0.0;0
1703094457151542;1703094457151527;uav1;[300, 770];0.0;0
1703094457245975;1703094457245963;uav1;[300, 770];0.0;0
1703094457346028;1703094457346009;uav1;[300, 770];0.0;0
1703094457447836;1703094457447776;uav1;[300, 770];0.0;0
1703094457547932;1703094457547893;uav1;[300, 770];0.0;0
1703094457648687;1703094457648676;uav1;[300, 770];0.0;0
1703094457747723;1703094457747712;uav1;[300, 770];0.0;0
1703094457845957;1703094457845939;uav1;[300, 770];0.0;0
1703094457947264;1703094457947224;uav1;[300, 770];0.0;0
1703094458047603;1703094458047573;uav1;[300, 770];0.0;0
1703094458146458;1703094458146443;uav1;[300, 770];0.0;0
1703094458245701;1703094458245690;uav1;[300, 770];0.0;0
1703094458346449;1703094458346430;uav1;[300, 770];0.0;0
1703094458446150;1703094458446133;uav1;[300, 770];0.0;0
1703094458547303;1703094458547268;uav1;[300, 770];0.0;0
1703094458647177;1703094458647160;uav1;[300, 770];0.0;0
1703094458746205;1703094458746188;uav1;[300, 770];0.0;0
1703094458845905;1703094458845893;uav1;[300, 770];0.0;0
1703094458947590;1703094458947559;uav1;[300, 770];0.0;0
1703094459048141;1703094459048111;uav1;[300, 770];0.0;0
1703094459147018;1703094459146982;uav1;[300, 770];0.0;0
1703094459246765;1703094459246743;uav1;[300, 770];0.0;0
1703094459345965;1703094459345952;uav1;[300, 770];0.0;0
1703094459445691;1703094459445679;uav1;[300, 770];0.0;0
1703094459546013;1703094459545995;uav1;[300, 770];0.0;0
1703094459646560;1703094459646541;uav1;[300, 770];0.0;0
1703094459746671;1703094459746651;uav1;[300, 770];0.0;0
1703094459847643;1703094459847588;uav1;[300, 770];0.0;0
1703094459946271;1703094459946253;uav1;[300, 770];0.0;0
1703094460047559;1703094460047527;uav1;[300, 770];0.0;0
1703094460147444;1703094460147423;uav1;[300, 770];0.0;0
1703094460246402;1703094460246380;uav1;[300, 770];0.0;0
1703094460346859;1703094460346837;uav1;[300, 770];0.0;0
1703094460446724;1703094460446709;uav1;[300, 770];0.0;0
1703094460546355;1703094460546338;uav1;[300, 770];0.0;0
1703094460645980;1703094460645962;uav1;[300, 770];0.0;0
1703094460746039;1703094460746022;uav1;[300, 770];0.0;0
1703094460846868;1703094460846837;uav1;[300, 770];0.0;0
1703094460946399;1703094460946388;uav1;[300, 770];0.0;0
1703094461045606;1703094461045596;uav1;[300, 770];0.0;0
1703094461145709;1703094461145694;uav1;[300, 770];0.0;0
1703094461246532;1703094461246508;uav1;[300, 770];0.0;0
1703094461346581;1703094461346567;uav1;[300, 770];0.0;0
1703094461446172;1703094461446152;uav1;[300, 770];0.0;0
1703094461546410;1703094461546388;uav1;[300, 770];0.0;0
1703094461654412;1703094461654352;uav1;[300, 770];0.0;0
1703094461747181;1703094461747156;uav1;[300, 770];0.0;0
1703094461847446;1703094461847420;uav1;[300, 770];0.0;0
1703094461947169;1703094461947144;uav1;[300, 770];0.0;0
1703094462047262;1703094462047217;uav1;[300, 770];0.0;0
1703094462146666;1703094462146640;uav1;[300, 770];0.0;0
1703094462245969;1703094462245956;uav1;[300, 770];0.0;0
1703094462346619;1703094462346593;uav1;[300, 770];0.0;0
1703094462446587;1703094462446569;uav1;[300, 770];0.0;0
1703094462545441;1703094462545432;uav1;[300, 770];0.0;0
1703094462648649;1703094462648602;uav1;[300, 770];0.0;0
1703094462758173;1703094462758152;uav1;[300, 770];0.0;0
1703094462846951;1703094462846937;uav1;[300, 770];0.0;0
