time;created;id;aircraft;position;vel;status
1703094488058537;1703094488058414;0xe367b82a;wt5;[770, 770];0;OK
1703094488158755;1703094488158604;0x640c04b0;wt5;[770, 770];0;OK
1703094488258571;1703094488258237;0x70c105f9;wt5;[770, 770];0;OK
1703094488359391;1703094488358943;0x1387092d;wt5;[770, 770];0;OK
1703094488458957;1703094488458803;0xc11b50ba;wt5;[770, 770];0;OK
1703094488559781;1703094488559259;0xf0dd43fe;wt5;[770, 770];0;OK
1703094488659423;1703094488659228;0xf54e6488;wt5;[770, 770];0;OK
1703094488761219;1703094488760368;0x7ab2c3ce;wt5;[770, 770];0;OK
1703094488859468;1703094488859310;0x24a187e5;wt5;[770, 770];0;OK
1703094488961507;1703094488961331;0x67021eee;wt5;[770, 770];0;OK
1703094489061464;1703094489061256;0xe2aea7ca;wt5;[770, 770];0;OK
1703094489175599;1703094489175328;0xd22e59f6;wt5;[770, 770];0;OK
1703094489269348;1703094489268882;0xc25ad3e9;wt5;[770, 770];0;OK
1703094489358633;1703094489358520;0x7e08347d;wt5;[770, 770];0;OK
1703094489459529;1703094489459001;0xbf3f46dc;wt5;[770, 770];0;OK
1703094489558597;1703094489558418;0x9907c46b;wt5;[770, 770];0;OK
1703094489657967;1703094489657872;0x42a2a6ff;wt5;[770, 770];0;OK
1703094489758330;1703094489758193;0xd44668fa;wt5;[770, 770];0;OK
1703094489858453;1703094489858260;0x977129dd;wt5;[770, 770];0;OK
1703094489958142;1703094489957954;0xea1f8622;wt5;[770, 770];0;OK
1703094490060674;1703094490060179;0x2c6cab50;wt5;[770, 770];0;OK
1703094490160952;1703094490160347;0xa2f72fef;wt5;[770, 770];0;OK
1703094490258865;1703094490258735;0xec529125;wt5;[770, 770];0;OK
1703094490358213;1703094490358035;0x59297f6e;wt5;[770, 770];0;OK
1703094490459622;1703094490459435;0x588c260c;wt5;[770, 770];0;OK
1703094490558186;1703094490558054;0x81504e34;wt5;[770, 770];0;OK
1703094490658764;1703094490658536;0x3ef721e2;wt5;[770, 770];0;OK
1703094490759358;1703094490758924;0x6e6824aa;wt5;[770, 770];0;OK
1703094490858609;1703094490858420;0xde27291;wt5;[770, 770];0;OK
1703094490958124;1703094490958005;0xd58b3e8f;wt5;[770, 770];0;OK
1703094491058648;1703094491058515;0xd794b7c5;wt5;[770, 770];0;OK
1703094491158201;1703094491158065;0xba4f22b3;wt5;[770, 770];0;OK
1703094491259130;1703094491258824;0xceb86a6f;wt5;[770, 770];0;OK
1703094491358345;1703094491358245;0x88c5e30f;wt5;[770, 770];0;OK
1703094491458148;1703094491458028;0xe3f9c026;wt5;[770, 770];0;OK
1703094491559567;1703094491559254;0xd69378c2;wt5;[770, 770];0;OK
1703094491658542;1703094491658360;0x1b37c5e8;wt5;[770, 770];0;OK
1703094491758082;1703094491757971;0x8f2e01ca;wt5;[770, 770];0;OK
1703094491857980;1703094491857861;0xfc257615;wt5;[770, 770];0;OK
1703094491959887;1703094491959609;0x3e53f5c6;wt5;[770, 770];0;OK
1703094492061497;1703094492060669;0x5b4afca1;wt5;[770, 770];0;OK
1703094492162519;1703094492161508;0x685d4bbc;wt5;[770, 770];0;OK
1703094492259222;1703094492259020;0x64f86f28;wt5;[770, 770];0;OK
1703094492358321;1703094492358156;0x565a005;wt5;[770, 770];0;OK
1703094492458321;1703094492458166;0xc5e564fc;wt5;[770, 770];0;OK
1703094492558346;1703094492558215;0x3e906e3;wt5;[770, 770];0;OK
1703094492658313;1703094492658143;0x3e7edb52;wt5;[770, 770];0;OK
1703094492758264;1703094492758090;0x3a03c86c;wt5;[770, 770];0;OK
1703094492858090;1703094492857976;0xbf50bd94;wt5;[770, 770];0;OK
1703094492957943;1703094492957829;0x6ea3e12f;wt5;[770, 770];0;OK
1703094493058133;1703094493057986;0x3460301f;wt5;[770, 770];0;OK
