time;created;id;aircraft;position;vel;status
1703097255491324;1703097255491091;0x6a94299d;wt6;[1540, 770];0;OK
1703097255603405;1703097255603091;0x21eae3fb;wt6;[1540, 770];0;OK
1703097255692926;1703097255691077;0x19cbd32e;wt6;[1540, 770];0;OK
1703097255791759;1703097255791667;0x5f920a93;wt6;[1540, 770];0;OK
1703097255890919;1703097255890818;0x2d6ef70c;wt6;[1540, 770];0;OK
1703097255994567;1703097255994237;0xb4b1ad4c;wt6;[1540, 770];0;OK
1703097256093247;1703097256093006;0xfea88a5a;wt6;[1540, 770];0;OK
1703097256191630;1703097256191294;0x20acbf94;wt6;[1540, 770];0;OK
1703097256290739;1703097256290643;0x76442284;wt6;[1540, 770];0;OK
1703097256395623;1703097256395341;0x8ef86ed0;wt6;[1540, 770];0;OK
1703097256502489;1703097256501335;0x983fa132;wt6;[1540, 770];0;OK
1703097256592277;1703097256592146;0xd8e5625a;wt6;[1540, 770];0;OK
1703097256691825;1703097256691664;0x815af54b;wt6;[1540, 770];0;OK
1703097256791932;1703097256791773;0xb0dbc4db;wt6;[1540, 770];0;OK
1703097256891593;1703097256891433;0xa46c509e;wt6;[1540, 770];0;OK
1703097256991790;1703097256991584;0x6584bc5d;wt6;[1540, 770];0;OK
1703097257093797;1703097257093504;0x315e7105;wt6;[1540, 770];0;OK
1703097257192310;1703097257192168;0xcfc85ba4;wt6;[1540, 770];0;OK
1703097257292095;1703097257291835;0x3f8db7a5;wt6;[1540, 770];0;OK
1703097257391683;1703097257391477;0x6c1590f2;wt6;[1540, 770];0;OK
1703097257499521;1703097257498046;0xed79ace7;wt6;[1540, 770];0;OK
1703097257592655;1703097257592408;0x620a3301;wt6;[1540, 770];0;OK
1703097257691612;1703097257691439;0xf7064ef;wt6;[1540, 770];0;OK
1703097257791521;1703097257791347;0xa85db5ff;wt6;[1540, 770];0;OK
1703097257891748;1703097257891578;0x490b2a04;wt6;[1540, 770];0;OK
1703097257991621;1703097257991453;0x39c68c2e;wt6;[1540, 770];0;OK
1703097258092056;1703097258091895;0xbbce18f;wt6;[1540, 770];0;OK
1703097258191789;1703097258191617;0x7da71a52;wt6;[1540, 770];0;OK
1703097258292104;1703097258291947;0xd85486f8;wt6;[1540, 770];0;OK
1703097258392079;1703097258391813;0x2c83a065;wt6;[1540, 770];0;OK
1703097258491634;1703097258491494;0x239dcce5;wt6;[1540, 770];0;OK
1703097258591584;1703097258591319;0xd456fd5c;wt6;[1540, 770];0;OK
1703097258691686;1703097258691436;0x7bd5658d;wt6;[1540, 770];0;OK
1703097258791865;1703097258791693;0xc0205e53;wt6;[1540, 770];0;OK
