time;created;id;aircraft;position;vel;status
1703097255500188;1703097255500049;0xd7000f80;wt7;[0, 1540];0;OK
1703097255602931;1703097255602831;0x3357c7f6;wt7;[0, 1540];0;OK
1703097255703021;1703097255702869;0xc98e2fcf;wt7;[0, 1540];0;OK
1703097255802338;1703097255802149;0xfdf31b0a;wt7;[0, 1540];0;OK
1703097255900103;1703097255900000;0xa91591dd;wt7;[0, 1540];0;OK
1703097256000426;1703097256000239;0x9492e5e9;wt7;[0, 1540];0;OK
1703097256099838;1703097256099747;0xa5fdb023;wt7;[0, 1540];0;OK
1703097256208122;1703097256207991;0x6717692a;wt7;[0, 1540];0;OK
1703097256299587;1703097256299510;0xa5257fd8;wt7;[0, 1540];0;OK
1703097256401221;1703097256400960;0xb6b38fa5;wt7;[0, 1540];0;OK
1703097256502244;1703097256502033;0xd639d6d5;wt7;[0, 1540];0;OK
1703097256600354;1703097256600177;0x25e1822a;wt7;[0, 1540];0;OK
1703097256700782;1703097256700636;0x8e1339c7;wt7;[0, 1540];0;OK
1703097256800851;1703097256800718;0x98cf12f2;wt7;[0, 1540];0;OK
1703097256900431;1703097256900296;0xd1eaead8;wt7;[0, 1540];0;OK
1703097257000252;1703097257000020;0x68610048;wt7;[0, 1540];0;OK
1703097257100611;1703097257100401;0x261bc2c0;wt7;[0, 1540];0;OK
1703097257200388;1703097257200240;0xf3fb3017;wt7;[0, 1540];0;OK
1703097257300529;1703097257300322;0x3bf523bc;wt7;[0, 1540];0;OK
1703097257400313;1703097257400181;0x2112f3d9;wt7;[0, 1540];0;OK
1703097257501693;1703097257501486;0xeb95f046;wt7;[0, 1540];0;OK
1703097257600699;1703097257600480;0xc032f985;wt7;[0, 1540];0;OK
1703097257701486;1703097257701279;0xae99b50a;wt7;[0, 1540];0;OK
1703097257801469;1703097257801258;0x97e41e19;wt7;[0, 1540];0;OK
1703097257901500;1703097257900526;0xc5836f34;wt7;[0, 1540];0;OK
1703097258000946;1703097258000750;0xb966ce2e;wt7;[0, 1540];0;OK
1703097258099828;1703097258099702;0x108fe51d;wt7;[0, 1540];0;OK
1703097258200650;1703097258200360;0xa74c7e5;wt7;[0, 1540];0;OK
1703097258300386;1703097258300204;0xdd0e0523;wt7;[0, 1540];0;OK
1703097258400216;1703097258400041;0x8534f72d;wt7;[0, 1540];0;OK
1703097258500316;1703097258500164;0xcc9c6d5a;wt7;[0, 1540];0;OK
1703097258599967;1703097258599838;0xf2b3791b;wt7;[0, 1540];0;OK
1703097258700252;1703097258700130;0xacbc6f91;wt7;[0, 1540];0;OK
1703097258800142;1703097258799986;0x21103b1c;wt7;[0, 1540];0;OK
1703097258900139;1703097258900022;0x51af9784;wt7;[0, 1540];0;OK
1703097259000089;1703097258999940;0x4c2095e8;wt7;[0, 1540];0;OK
1703097259100326;1703097259100195;0x651450fd;wt7;[0, 1540];0;OK
1703097259199834;1703097259199758;0xc9189012;wt7;[0, 1540];0;OK
1703097259300112;1703097259299945;0xebf83a3c;wt7;[0, 1540];0;OK
1703097259400208;1703097259400012;0x8adf2562;wt7;[0, 1540];0;OK
1703097259500299;1703097259500162;0x5a9a995b;wt7;[0, 1540];0;OK
1703097259600928;1703097259600692;0xf8b892d7;wt7;[0, 1540];0;OK
1703097259700720;1703097259700499;0xe3278cf8;wt7;[0, 1540];0;OK
1703097259800896;1703097259800631;0xa51bcfda;wt7;[0, 1540];0;OK
1703097259901015;1703097259900563;0xa927c0d5;wt7;[0, 1540];0;OK
1703097260000766;1703097260000414;0x52f301c;wt7;[0, 1540];0;OK
1703097260100054;1703097260099947;0x9a7d051f;wt7;[0, 1540];0;OK
1703097260199927;1703097260199814;0x659ede41;wt7;[0, 1540];0;OK
1703097260299845;1703097260299704;0xf6f20c06;wt7;[0, 1540];0;OK
1703097260399793;1703097260399691;0xfa26d827;wt7;[0, 1540];0;OK
1703097260501215;1703097260500952;0xb8b38586;wt7;[0, 1540];0;OK
1703097260601049;1703097260600878;0xce19ae4a;wt7;[0, 1540];0;OK
1703097260701546;1703097260701278;0x3046f875;wt7;[0, 1540];0;OK
1703097260800751;1703097260800392;0xdbed388d;wt7;[0, 1540];0;OK
1703097260900051;1703097260899947;0x72972126;wt7;[0, 1540];0;OK
