time;created;id;aircraft;position;vel;status;inspector_UAV;inspector_UAV_position
1703097339927493;1703097274173734;0x39656b18;wt4;[0, 770];0;OK;uav2;[1508.5747921131183, 1154.9545531709734]
1703097350504350;1703097349598650;0x21b88ae5;wt6;[1540, 770];0;OK;uav1;[1315.3309816216445, 960.4186037564521]
1703097428685276;1703097395763479;0x6438cea;wt9;[1540, 1540];0;OK;uav2;[1001.1100908810406, 1258.94468652033]
