time;created;id;aircraft;position;vel;status
1703097255856682;1703097255856482;0x9d00780b;wt1;[0, 0];0;OK
1703097255958861;1703097255958548;0x69c9d698;wt1;[0, 0];0;OK
1703097256059267;1703097256059101;0xa958a26b;wt1;[0, 0];0;OK
1703097256157308;1703097256157036;0x99ff4d1b;wt1;[0, 0];0;OK
1703097256256479;1703097256256383;0x2f5dddb6;wt1;[0, 0];0;OK
1703097256356915;1703097256356781;0x44c4a570;wt1;[0, 0];0;OK
1703097256459042;1703097256458404;0x2a400da2;wt1;[0, 0];0;OK
1703097256557335;1703097256557251;0x1aca1a76;wt1;[0, 0];0;OK
1703097256657636;1703097256657370;0xe4679614;wt1;[0, 0];0;OK
1703097256757715;1703097256757514;0xc071e989;wt1;[0, 0];0;OK
1703097256857014;1703097256856881;0xa52c466f;wt1;[0, 0];0;OK
1703097256956866;1703097256956731;0x4683a226;wt1;[0, 0];0;OK
1703097257058622;1703097257058229;0xacdcb2e8;wt1;[0, 0];0;OK
1703097257157614;1703097257157464;0xb488da6;wt1;[0, 0];0;OK
1703097257257089;1703097257256935;0x92978a4f;wt1;[0, 0];0;OK
1703097257357058;1703097257356898;0xa4db1cb2;wt1;[0, 0];0;OK
1703097257456637;1703097257456500;0x3efe6d75;wt1;[0, 0];0;OK
1703097257557193;1703097257556922;0x6b0e06fd;wt1;[0, 0];0;OK
1703097257657738;1703097257657481;0xd352f985;wt1;[0, 0];0;OK
1703097257757592;1703097257757376;0x968fec3b;wt1;[0, 0];0;OK
1703097257857120;1703097257856956;0x4c9be343;wt1;[0, 0];0;OK
1703097257957099;1703097257956930;0x655493a5;wt1;[0, 0];0;OK
1703097258057578;1703097258057457;0x9b6f908c;wt1;[0, 0];0;OK
1703097258156902;1703097258156737;0xf52dd29b;wt1;[0, 0];0;OK
1703097258257352;1703097258257182;0x6fe6fc5d;wt1;[0, 0];0;OK
1703097258357040;1703097258356907;0xd63b72bf;wt1;[0, 0];0;OK
1703097258457167;1703097258456888;0x500a18a4;wt1;[0, 0];0;OK
1703097258565715;1703097258565529;0x58083860;wt1;[0, 0];0;OK
1703097258656990;1703097258656770;0xe7cb0100;wt1;[0, 0];0;OK
1703097258756945;1703097258756726;0x31e2061;wt1;[0, 0];0;OK
1703097258856930;1703097258856742;0xee15aed8;wt1;[0, 0];0;OK
1703097258957275;1703097258956970;0x175a1471;wt1;[0, 0];0;OK
1703097259056863;1703097259056731;0x5260ae0e;wt1;[0, 0];0;OK
1703097259158005;1703097259157693;0x2d2dbf19;wt1;[0, 0];0;OK
1703097259256980;1703097259256814;0xe3a1bdac;wt1;[0, 0];0;OK
1703097259357314;1703097259357169;0xbb37628a;wt1;[0, 0];0;OK
1703097259457143;1703097259456993;0x2e23316;wt1;[0, 0];0;OK
1703097259557641;1703097259557491;0x77b18ab3;wt1;[0, 0];0;OK
1703097259657239;1703097259657066;0x4264a73d;wt1;[0, 0];0;OK
1703097259759263;1703097259758927;0x4c462bd9;wt1;[0, 0];0;OK
1703097259857614;1703097259857437;0x1b6b5190;wt1;[0, 0];0;OK
1703097259957112;1703097259956928;0xa7401d07;wt1;[0, 0];0;OK
1703097260057426;1703097260057195;0xd640879f;wt1;[0, 0];0;OK
1703097260156525;1703097260156397;0x4302461c;wt1;[0, 0];0;OK
1703097260257319;1703097260257057;0xf68eff86;wt1;[0, 0];0;OK
1703097260357412;1703097260357237;0xb5182b8f;wt1;[0, 0];0;OK
1703097260457255;1703097260457083;0xa7208ff8;wt1;[0, 0];0;OK
1703097260557670;1703097260557484;0x522f786f;wt1;[0, 0];0;OK
1703097260657240;1703097260657066;0xe9917db2;wt1;[0, 0];0;OK
1703097260757474;1703097260757293;0x822bb2e8;wt1;[0, 0];0;OK
1703097260859942;1703097260859805;0xb30563c0;wt1;[0, 0];0;OK
1703097260956554;1703097260956391;0xdd4005b5;wt1;[0, 0];0;OK
1703097261057443;1703097261057297;0x391f57c4;wt1;[0, 0];0;OK
1703097261157625;1703097261157421;0x89a9d4b5;wt1;[0, 0];0;OK
1703097261257331;1703097261257145;0xd6c502b8;wt1;[0, 0];0;OK
1703097261358316;1703097261358004;0x5d31d269;wt1;[0, 0];0;OK
1703097261457296;1703097261457151;0xd420af18;wt1;[0, 0];0;OK
1703097261556930;1703097261556780;0x74377eb5;wt1;[0, 0];0;OK
1703097261657010;1703097261656815;0x3b018b8f;wt1;[0, 0];0;OK
1703097261757011;1703097261756792;0xb664e75e;wt1;[0, 0];0;OK
1703097261856930;1703097261856770;0x4a42222c;wt1;[0, 0];0;OK
1703097261959826;1703097261959611;0x66fa1e77;wt1;[0, 0];0;OK
1703097262056847;1703097262056715;0x32770674;wt1;[0, 0];0;OK
1703097262156862;1703097262156653;0xa68cc71a;wt1;[0, 0];0;OK
1703097262257253;1703097262257084;0xf8c0bd4f;wt1;[0, 0];0;OK
1703097262359664;1703097262359278;0x27ba1003;wt1;[0, 0];0;OK
1703097262458384;1703097262458251;0x7112fe5e;wt1;[0, 0];0;OK
1703097262557796;1703097262557572;0x6f89c138;wt1;[0, 0];0;OK
1703097262657566;1703097262657358;0xbbb8195a;wt1;[0, 0];0;OK
1703097262756880;1703097262756742;0x453b5244;wt1;[0, 0];0;OK
1703097262856989;1703097262856729;0x168c1ad;wt1;[0, 0];0;OK
1703097262956907;1703097262956823;0xf0a624e8;wt1;[0, 0];0;OK
1703097263057184;1703097263057028;0x3d3a06d4;wt1;[0, 0];0;OK
1703097263156478;1703097263156388;0xb8194b2f;wt1;[0, 0];0;OK
1703097263256921;1703097263256774;0x5606dde0;wt1;[0, 0];0;OK
1703097263356814;1703097263356663;0x753c6d7e;wt1;[0, 0];0;OK
1703097263456919;1703097263456730;0xc035fec2;wt1;[0, 0];0;OK
1703097263558373;1703097263557986;0x40e1de1b;wt1;[0, 0];0;OK
1703097263658139;1703097263657980;0xa10a1484;wt1;[0, 0];0;OK
1703097263757051;1703097263756957;0x6dd628b1;wt1;[0, 0];0;OK
1703097263856788;1703097263856634;0xb4585aef;wt1;[0, 0];0;OK
1703097263959749;1703097263959341;0x197ee6d5;wt1;[0, 0];0;OK
1703097264057716;1703097264057582;0xe6d5f83b;wt1;[0, 0];0;OK
1703097264158583;1703097264158029;0xfc202b5a;wt1;[0, 0];0;OK
1703097264257103;1703097264256967;0xe7d90a1c;wt1;[0, 0];0;OK
1703097264364298;1703097264363851;0x2036d9d9;wt1;[0, 0];0;OK
1703097264457298;1703097264457188;0x76a59434;wt1;[0, 0];0;OK
1703097264557096;1703097264556965;0xa9ebb57b;wt1;[0, 0];0;OK
1703097264657832;1703097264657657;0x77a4e6f2;wt1;[0, 0];0;OK
1703097264756662;1703097264756470;0x41a22bb7;wt1;[0, 0];0;OK
1703097264856729;1703097264856639;0x51afba34;wt1;[0, 0];0;OK
1703097264957697;1703097264957555;0xa3d8d2e8;wt1;[0, 0];0;OK
1703097265057884;1703097265057635;0xfe232b32;wt1;[0, 0];0;OK
1703097265157288;1703097265157112;0xd89884e0;wt1;[0, 0];0;OK
1703097265256920;1703097265256743;0x40f684ca;wt1;[0, 0];0;OK
1703097265356604;1703097265356385;0x6cab5a9c;wt1;[0, 0];0;OK
1703097265456869;1703097265456755;0x8163da8c;wt1;[0, 0];0;OK
1703097265558497;1703097265557991;0x4eefe1b8;wt1;[0, 0];0;OK
1703097265657739;1703097265657595;0x504c4e49;wt1;[0, 0];0;OK
1703097265757002;1703097265756827;0x6c22f13;wt1;[0, 0];0;OK
1703097265857032;1703097265856749;0xba9d49b1;wt1;[0, 0];0;OK
1703097265957224;1703097265956932;0xc5b32aaf;wt1;[0, 0];0;OK
1703097266058712;1703097266058407;0x5f024d32;wt1;[0, 0];0;OK
1703097266159801;1703097266159284;0xdd6af483;wt1;[0, 0];0;OK
