time;created;uav;uav_position;flying_distance;visited_wt
1703097225072232;1703097225072213;uav2;(916.010313965571, 561.4154157983098);10.173173826770801;0
1703097225146387;1703097225146376;uav2;(916.010313965571, 561.4154157983098);10.173173826770801;0
1703097225246719;1703097225246706;uav2;(915.2467859343056, 566.4443710946806);15.259760740156203;0
1703097225348528;1703097225348493;uav2;(915.2467859343056, 566.4443710946806);15.259760740156203;0
1703097225450049;1703097225450002;uav2;(914.4832579030403, 571.4733263910514);20.346347653541603;0
1703097225548769;1703097225548732;uav2;(914.4832579030403, 571.4733263910514);20.346347653541603;0
1703097225646999;1703097225646984;uav2;(913.719729871775, 576.5022816874222);25.432934566927003;0
1703097225747790;1703097225747761;uav2;(913.719729871775, 576.5022816874222);25.432934566927003;0
1703097225847158;1703097225847146;uav2;(912.9562018405097, 581.531236983793);30.519521480312402;0
1703097225946994;1703097225946969;uav2;(912.9562018405097, 581.531236983793);30.519521480312402;0
1703097226047495;1703097226047483;uav2;(912.1926738092444, 586.5601922801637);35.6061083936978;0
1703097226146314;1703097226146302;uav2;(912.1926738092444, 586.5601922801637);35.6061083936978;0
1703097226246384;1703097226246372;uav2;(911.4291457779791, 591.5891475765345);40.692695307083206;0
1703097226347942;1703097226347931;uav2;(911.4291457779791, 591.5891475765345);40.692695307083206;0
1703097226446541;1703097226446525;uav2;(910.6656177467138, 596.6181028729053);45.77928222046861;0
1703097226548446;1703097226548400;uav2;(910.6656177467138, 596.6181028729053);45.77928222046861;0
1703097226648942;1703097226648867;uav2;(909.9020897154485, 601.6470581692761);50.86586913385401;0
1703097226749390;1703097226749363;uav2;(909.9020897154485, 601.6470581692761);50.86586913385401;0
1703097226847014;1703097226846997;uav2;(909.1385616841832, 606.6760134656469);55.952456047239416;0
1703097226946457;1703097226946445;uav2;(909.1385616841832, 606.6760134656469);55.952456047239416;0
1703097227046969;1703097227046944;uav2;(908.3750336529179, 611.7049687620176);61.03904296062482;0
1703097227147126;1703097227147107;uav2;(908.3750336529179, 611.7049687620176);61.03904296062482;0
1703097227248131;1703097227248089;uav2;(907.6115056216526, 616.7339240583884);66.12562987401022;0
1703097227349569;1703097227349542;uav2;(907.6115056216526, 616.7339240583884);66.12562987401022;0
1703097227450433;1703097227450418;uav2;(906.8479775903872, 621.7628793547592);71.21221678739562;0
1703097227553741;1703097227553730;uav2;(906.8479775903872, 621.7628793547592);71.21221678739562;0
1703097227650110;1703097227650072;uav2;(906.0844495591219, 626.79183465113);76.29880370078102;0
1703097227748016;1703097227747995;uav2;(906.0844495591219, 626.79183465113);76.29880370078102;0
1703097227848213;1703097227848191;uav2;(905.3209215278566, 631.8207899475008);81.38539061416643;0
1703097227948028;1703097227947994;uav2;(905.3209215278566, 631.8207899475008);81.38539061416643;0
1703097228046983;1703097228046970;uav2;(904.5573934965913, 636.8497452438716);86.47197752755183;0
1703097228146767;1703097228146749;uav2;(904.5573934965913, 636.8497452438716);86.47197752755183;0
1703097228246585;1703097228246573;uav2;(903.793865465326, 641.8787005402423);91.55856444093723;0
1703097228348409;1703097228348359;uav2;(903.793865465326, 641.8787005402423);91.55856444093723;0
1703097228446838;1703097228446827;uav2;(903.0303374340607, 646.9076558366131);96.64515135432264;0
1703097228546432;1703097228546419;uav2;(903.0303374340607, 646.9076558366131);96.64515135432264;0
1703097228647219;1703097228647207;uav2;(902.2668094027954, 651.9366111329839);101.73173826770804;0
1703097228746395;1703097228746381;uav2;(902.2668094027954, 651.9366111329839);101.73173826770804;0
1703097228846349;1703097228846338;uav2;(901.5032813715301, 656.9655664293547);106.81832518109344;0
1703097228946820;1703097228946805;uav2;(901.5032813715301, 656.9655664293547);106.81832518109344;0
1703097229047866;1703097229047854;uav2;(900.7397533402648, 661.9945217257255);111.90491209447885;0
1703097229147729;1703097229147718;uav2;(900.7397533402648, 661.9945217257255);111.90491209447885;0
1703097229254252;1703097229254214;uav2;(899.9762253089995, 667.0234770220962);116.99149900786425;0
1703097229347393;1703097229347381;uav2;(899.9762253089995, 667.0234770220962);116.99149900786425;0
1703097229447061;1703097229447046;uav2;(899.2126972777342, 672.052432318467);122.07808592124965;0
1703097229546373;1703097229546361;uav2;(899.2126972777342, 672.052432318467);122.07808592124965;0
1703097229646987;1703097229646975;uav2;(898.4491692464688, 677.0813876148378);127.16467283463506;0
1703097229747366;1703097229747346;uav2;(898.4491692464688, 677.0813876148378);127.16467283463506;0
1703097229847031;1703097229847010;uav2;(897.6856412152035, 682.1103429112086);132.25125974802046;0
1703097229947056;1703097229947038;uav2;(897.6856412152035, 682.1103429112086);132.25125974802046;0
1703097230048239;1703097230048190;uav2;(896.9221131839382, 687.1392982075794);137.33784666140585;0
1703097230148311;1703097230148278;uav2;(896.9221131839382, 687.1392982075794);137.33784666140585;0
1703097230247008;1703097230246996;uav2;(896.9221131839382, 687.1392982075794);137.33784666140585;0
1703097230347191;1703097230347179;uav2;(896.1585851526729, 692.1682535039502);142.42443357479124;0
1703097230456724;1703097230456694;uav2;(895.3950571214076, 697.1972088003209);147.51102048817663;0
1703097230546400;1703097230546389;uav2;(895.3950571214076, 697.1972088003209);147.51102048817663;0
1703097230646673;1703097230646657;uav2;(895.3950571214076, 697.1972088003209);147.51102048817663;0
1703097230746619;1703097230746607;uav2;(894.6315290901423, 702.2261640966917);152.59760740156202;0
1703097230846836;1703097230846823;uav2;(894.6315290901423, 702.2261640966917);152.59760740156202;0
1703097230946626;1703097230946611;uav2;(893.868001058877, 707.2551193930625);157.6841943149474;0
1703097231046811;1703097231046794;uav2;(893.868001058877, 707.2551193930625);157.6841943149474;0
1703097231146645;1703097231146631;uav2;(893.1044730276117, 712.2840746894333);162.7707812283328;0
1703097231246332;1703097231246320;uav2;(893.1044730276117, 712.2840746894333);162.7707812283328;0
1703097231346201;1703097231346191;uav2;(892.3409449963464, 717.3130299858041);167.85736814171818;0
1703097231446251;1703097231446240;uav2;(892.3409449963464, 717.3130299858041);167.85736814171818;0
1703097231547214;1703097231547200;uav2;(891.577416965081, 722.3419852821748);172.94395505510357;0
1703097231646926;1703097231646911;uav2;(891.577416965081, 722.3419852821748);172.94395505510357;0
1703097231746377;1703097231746362;uav2;(890.8138889338157, 727.3709405785456);178.03054196848896;0
1703097231846286;1703097231846273;uav2;(890.8138889338157, 727.3709405785456);178.03054196848896;0
1703097231946335;1703097231946318;uav2;(890.0503609025504, 732.3998958749164);183.11712888187435;0
1703097232046561;1703097232046551;uav2;(890.0503609025504, 732.3998958749164);183.11712888187435;0
1703097232147736;1703097232147707;uav2;(889.2868328712851, 737.4288511712872);188.20371579525974;0
1703097232248024;1703097232247990;uav2;(889.2868328712851, 737.4288511712872);188.20371579525974;0
1703097232349455;1703097232349408;uav2;(888.5233048400198, 742.457806467658);193.29030270864513;0
1703097232447600;1703097232447587;uav2;(888.5233048400198, 742.457806467658);193.29030270864513;0
1703097232547281;1703097232547255;uav2;(887.7597768087545, 747.4867617640288);198.37688962203052;0
1703097232647018;1703097232647006;uav2;(887.7597768087545, 747.4867617640288);198.37688962203052;0
1703097232746395;1703097232746383;uav2;(886.9962487774892, 752.5157170603995);203.4634765354159;0
1703097232847968;1703097232847935;uav2;(886.9962487774892, 752.5157170603995);203.4634765354159;0
1703097232947682;1703097232947656;uav2;(886.2327207462239, 757.5446723567703);208.5500634488013;0
1703097233046860;1703097233046846;uav2;(886.2327207462239, 757.5446723567703);208.5500634488013;0
1703097233148213;1703097233148177;uav2;(885.4691927149586, 762.5736276531411);213.63665036218669;0
1703097233248708;1703097233248673;uav2;(885.4691927149586, 762.5736276531411);213.63665036218669;0
1703097233347260;1703097233347242;uav2;(884.7056646836933, 767.6025829495119);218.72323727557207;0
1703097233460052;1703097233460025;uav2;(884.7056646836933, 767.6025829495119);218.72323727557207;0
1703097233547279;1703097233547266;uav2;(883.942136652428, 772.6315382458827);223.80982418895746;0
1703097233650620;1703097233650585;uav2;(883.942136652428, 772.6315382458827);223.80982418895746;0
1703097233749379;1703097233749343;uav2;(883.1786086211627, 777.6604935422534);228.89641110234285;0
1703097233848537;1703097233848450;uav2;(883.1786086211627, 777.6604935422534);228.89641110234285;0
1703097233949390;1703097233949354;uav2;(882.4150805898973, 782.6894488386242);233.98299801572824;0
1703097234047722;1703097234047698;uav2;(882.4150805898973, 782.6894488386242);233.98299801572824;0
1703097234148229;1703097234148217;uav2;(881.651552558632, 787.718404134995);239.06958492911363;0
1703097234246373;1703097234246360;uav2;(881.651552558632, 787.718404134995);239.06958492911363;0
1703097234346392;1703097234346375;uav2;(880.8880245273667, 792.7473594313658);244.15617184249902;0
1703097234446671;1703097234446654;uav2;(880.8880245273667, 792.7473594313658);244.15617184249902;0
1703097234547810;1703097234547750;uav2;(880.1244964961014, 797.7763147277366);249.2427587558844;0
1703097234646962;1703097234646940;uav2;(880.1244964961014, 797.7763147277366);249.2427587558844;0
1703097234748443;1703097234748393;uav2;(879.3609684648361, 802.8052700241074);254.3293456692698;0
1703097234847678;1703097234847655;uav2;(879.3609684648361, 802.8052700241074);254.3293456692698;0
1703097234948235;1703097234948210;uav2;(878.5974404335708, 807.8342253204781);259.4159325826552;0
1703097235047927;1703097235047901;uav2;(878.5974404335708, 807.8342253204781);259.4159325826552;0
1703097235148382;1703097235148354;uav2;(877.8339124023055, 812.8631806168489);264.50251949604063;0
1703097235249294;1703097235249265;uav2;(877.8339124023055, 812.8631806168489);264.50251949604063;0
1703097235347187;1703097235347170;uav2;(877.0703843710402, 817.8921359132197);269.58910640942605;0
1703097235449721;1703097235449678;uav2;(877.0703843710402, 817.8921359132197);269.58910640942605;0
1703097235548353;1703097235548260;uav2;(876.3068563397749, 822.9210912095905);274.67569332281147;0
1703097235648319;1703097235648282;uav2;(876.3068563397749, 822.9210912095905);274.67569332281147;0
