time;created;id;aircraft;position;vel;status;inspector_UAV;inspector_UAV_position
1703097274470106;1703097274305859;0x6794a9d8;wt5;[770, 770];0;OK;uav3;[936.9312648688709, 1010.3123170903864]
1703097343431637;1703097274173734;0x39656b18;wt4;[0, 770];0;OK;uav2;[1508.5747921131183, 1154.9545531709734]
1703097350616737;1703097349598650;0x21b88ae5;wt6;[1540, 770];0;OK;uav1;[1315.3309816216445, 960.4186037564521]
1703097437178086;1703097395763479;0x6438cea;wt9;[1540, 1540];0;OK;uav2;[1001.1100908810406, 1258.94468652033]
1703097508649353;1703097397400522;0xb82e7930;wt7;[0, 1540];0;OK;uav3;[511.9715927356467, 726.3131740200895]
1703097514624649;1703097440088998;0xfcbd641;wt8;[770, 1540];0;OK;uav3;[482.33027071532337, 829.6104358670553]
