time;created;id;aircraft;position;vel;status
1703097255883334;1703097255883226;0x3f099679;wt8;[770, 1540];0;OK
1703097255986135;1703097255985821;0xd721f3a2;wt8;[770, 1540];0;OK
1703097256092788;1703097256092175;0xb025d4b4;wt8;[770, 1540];0;OK
1703097256189228;1703097256189114;0x1871d439;wt8;[770, 1540];0;OK
1703097256282898;1703097256282795;0x1a27c40a;wt8;[770, 1540];0;OK
1703097256385334;1703097256385038;0xfb650315;wt8;[770, 1540];0;OK
1703097256486149;1703097256485226;0x8cecf7c3;wt8;[770, 1540];0;OK
1703097256583504;1703097256583216;0x5e327b1a;wt8;[770, 1540];0;OK
1703097256683367;1703097256683125;0x1831522;wt8;[770, 1540];0;OK
1703097256783676;1703097256783343;0x96c228a2;wt8;[770, 1540];0;OK
1703097256883276;1703097256883115;0x75282e31;wt8;[770, 1540];0;OK
1703097256983213;1703097256983018;0xe3f09294;wt8;[770, 1540];0;OK
1703097257085955;1703097257085355;0x1a2271a0;wt8;[770, 1540];0;OK
1703097257183739;1703097257183589;0xe16365da;wt8;[770, 1540];0;OK
1703097257283346;1703097257283176;0xeecdc30b;wt8;[770, 1540];0;OK
1703097257383271;1703097257383112;0xf55b678c;wt8;[770, 1540];0;OK
1703097257485395;1703097257484882;0x38f1fe96;wt8;[770, 1540];0;OK
1703097257584295;1703097257584126;0x42ed504c;wt8;[770, 1540];0;OK
1703097257684430;1703097257684178;0xdfd340fc;wt8;[770, 1540];0;OK
1703097257783967;1703097257783666;0xe0e40b6e;wt8;[770, 1540];0;OK
1703097257883795;1703097257883549;0x517543b8;wt8;[770, 1540];0;OK
1703097257983932;1703097257983648;0xbc7eb432;wt8;[770, 1540];0;OK
1703097258083500;1703097258083386;0x4ac636d7;wt8;[770, 1540];0;OK
1703097258183561;1703097258183291;0x76e1ae61;wt8;[770, 1540];0;OK
1703097258283467;1703097258283298;0x7dc1a649;wt8;[770, 1540];0;OK
1703097258383515;1703097258383267;0xe266201a;wt8;[770, 1540];0;OK
1703097258483904;1703097258483513;0x5264b1a3;wt8;[770, 1540];0;OK
1703097258583171;1703097258583058;0xf9d63656;wt8;[770, 1540];0;OK
1703097258684203;1703097258683054;0xfe175f1;wt8;[770, 1540];0;OK
1703097258783214;1703097258783024;0xd509b52e;wt8;[770, 1540];0;OK
1703097258883182;1703097258882971;0xb83fc346;wt8;[770, 1540];0;OK
1703097258983178;1703097258983035;0xe5ede521;wt8;[770, 1540];0;OK
1703097259083194;1703097259083053;0x84007e2d;wt8;[770, 1540];0;OK
1703097259182852;1703097259182727;0xc37c8c07;wt8;[770, 1540];0;OK
1703097259283478;1703097259283187;0x16598c4;wt8;[770, 1540];0;OK
1703097259383459;1703097259383204;0xb04f1d5f;wt8;[770, 1540];0;OK
