time;created;uav;uav_position;flying_distance;visited_wt
1703097225190472;1703097225190451;uav3;(1050.655566745347, 1224.6383251981538);10.112104093954711;0
1703097225290362;1703097225290344;uav3;(1050.655566745347, 1224.6383251981538);10.112104093954711;0
1703097225391866;1703097225391830;uav3;(1055.694300947937, 1225.0564399400514);15.168156140932066;0
1703097225491745;1703097225491710;uav3;(1055.694300947937, 1225.0564399400514);15.168156140932066;0
1703097225593922;1703097225593892;uav3;(1060.7330351505273, 1225.474554681949);20.224208187909422;0
1703097225690955;1703097225690935;uav3;(1060.7330351505273, 1225.474554681949);20.224208187909422;0
1703097225792130;1703097225792117;uav3;(1060.7330351505273, 1225.474554681949);20.224208187909422;0
1703097225891455;1703097225891430;uav3;(1065.7717693531174, 1225.8926694238467);25.28026023488678;0
1703097225991076;1703097225991058;uav3;(1065.7717693531174, 1225.8926694238467);25.28026023488678;0
1703097226090048;1703097226090032;uav3;(1070.8105035557076, 1226.3107841657443);30.336312281864135;0
1703097226190082;1703097226190069;uav3;(1070.8105035557076, 1226.3107841657443);30.336312281864135;0
1703097226290087;1703097226290074;uav3;(1075.8492377582977, 1226.728898907642);35.39236432884149;0
1703097226389993;1703097226389982;uav3;(1075.8492377582977, 1226.728898907642);35.39236432884149;0
1703097226502112;1703097226502069;uav3;(1080.8879719608879, 1227.1470136495395);40.448416375818844;0
1703097226595703;1703097226595219;uav3;(1080.8879719608879, 1227.1470136495395);40.448416375818844;0
1703097226693526;1703097226693500;uav3;(1085.926706163478, 1227.5651283914372);45.5044684227962;0
1703097226795448;1703097226795422;uav3;(1085.926706163478, 1227.5651283914372);45.5044684227962;0
1703097226890641;1703097226890628;uav3;(1090.9654403660682, 1227.9832431333348);50.56052046977356;0
1703097226991240;1703097226991219;uav3;(1090.9654403660682, 1227.9832431333348);50.56052046977356;0
1703097227091305;1703097227091260;uav3;(1096.0041745686583, 1228.4013578752324);55.616572516750914;0
1703097227191453;1703097227191427;uav3;(1096.0041745686583, 1228.4013578752324);55.616572516750914;0
1703097227290709;1703097227290691;uav3;(1101.0429087712484, 1228.81947261713);60.67262456372827;0
1703097227390134;1703097227390123;uav3;(1101.0429087712484, 1228.81947261713);60.67262456372827;0
1703097227490454;1703097227490443;uav3;(1106.0816429738386, 1229.2375873590277);65.72867661070562;0
1703097227591212;1703097227591199;uav3;(1106.0816429738386, 1229.2375873590277);65.72867661070562;0
1703097227691671;1703097227691650;uav3;(1111.1203771764287, 1229.6557021009253);70.78472865768298;0
1703097227791830;1703097227791808;uav3;(1111.1203771764287, 1229.6557021009253);70.78472865768298;0
1703097227891039;1703097227891018;uav3;(1116.159111379019, 1230.073816842823);75.84078070466033;0
1703097227991933;1703097227991919;uav3;(1116.159111379019, 1230.073816842823);75.84078070466033;0
1703097228090563;1703097228090550;uav3;(1121.197845581609, 1230.4919315847205);80.89683275163769;0
1703097228190724;1703097228190704;uav3;(1121.197845581609, 1230.4919315847205);80.89683275163769;0
1703097228290238;1703097228290227;uav3;(1126.2365797841992, 1230.9100463266182);85.95288479861505;0
1703097228390118;1703097228390107;uav3;(1126.2365797841992, 1230.9100463266182);85.95288479861505;0
1703097228491759;1703097228491722;uav3;(1131.2753139867893, 1231.3281610685158);91.0089368455924;0
1703097228590665;1703097228590653;uav3;(1131.2753139867893, 1231.3281610685158);91.0089368455924;0
1703097228691337;1703097228691326;uav3;(1136.3140481893795, 1231.7462758104134);96.06498889256976;0
1703097228790425;1703097228790410;uav3;(1136.3140481893795, 1231.7462758104134);96.06498889256976;0
1703097228890074;1703097228890062;uav3;(1141.3527823919696, 1232.164390552311);101.12104093954711;0
1703097228991347;1703097228991333;uav3;(1141.3527823919696, 1232.164390552311);101.12104093954711;0
1703097229091144;1703097229091130;uav3;(1146.3915165945598, 1232.5825052942087);106.17709298652447;0
1703097229190236;1703097229190222;uav3;(1146.3915165945598, 1232.5825052942087);106.17709298652447;0
1703097229290598;1703097229290586;uav3;(1151.43025079715, 1233.0006200361063);111.23314503350183;0
1703097229390675;1703097229390654;uav3;(1151.43025079715, 1233.0006200361063);111.23314503350183;0
1703097229490971;1703097229490955;uav3;(1156.46898499974, 1233.418734778004);116.28919708047918;0
1703097229590794;1703097229590777;uav3;(1156.46898499974, 1233.418734778004);116.28919708047918;0
1703097229698449;1703097229698404;uav3;(1161.5077192023302, 1233.8368495199015);121.34524912745654;0
1703097229791427;1703097229791407;uav3;(1161.5077192023302, 1233.8368495199015);121.34524912745654;0
1703097229891048;1703097229891027;uav3;(1166.5464534049204, 1234.2549642617992);126.4013011744339;0
1703097229993082;1703097229993046;uav3;(1166.5464534049204, 1234.2549642617992);126.4013011744339;0
1703097230092777;1703097230092739;uav3;(1171.5851876075105, 1234.6730790036968);131.45735322141124;0
1703097230192941;1703097230192904;uav3;(1171.5851876075105, 1234.6730790036968);131.45735322141124;0
1703097230291247;1703097230291234;uav3;(1176.6239218101007, 1235.0911937455944);136.5134052683886;0
1703097230392979;1703097230392950;uav3;(1176.6239218101007, 1235.0911937455944);136.5134052683886;0
1703097230495234;1703097230495219;uav3;(1181.6626560126908, 1235.509308487492);141.56945731536595;0
1703097230590609;1703097230590594;uav3;(1181.6626560126908, 1235.509308487492);141.56945731536595;0
1703097230691944;1703097230691926;uav3;(1186.701390215281, 1235.9274232293897);146.6255093623433;0
1703097230790368;1703097230790347;uav3;(1186.701390215281, 1235.9274232293897);146.6255093623433;0
1703097230890207;1703097230890195;uav3;(1191.7401244178711, 1236.3455379712873);151.68156140932066;0
1703097230990700;1703097230990681;uav3;(1191.7401244178711, 1236.3455379712873);151.68156140932066;0
1703097231090400;1703097231090386;uav3;(1196.7788586204613, 1236.763652713185);156.73761345629802;0
1703097231190868;1703097231190855;uav3;(1196.7788586204613, 1236.763652713185);156.73761345629802;0
1703097231291160;1703097231291143;uav3;(1201.8175928230514, 1237.1817674550825);161.79366550327538;0
1703097231390059;1703097231390047;uav3;(1201.8175928230514, 1237.1817674550825);161.79366550327538;0
1703097231490011;1703097231489996;uav3;(1206.8563270256416, 1237.5998821969802);166.84971755025273;0
1703097231592305;1703097231592290;uav3;(1206.8563270256416, 1237.5998821969802);166.84971755025273;0
1703097231690267;1703097231690253;uav3;(1211.8950612282317, 1238.0179969388778);171.9057695972301;0
1703097231793463;1703097231793451;uav3;(1211.8950612282317, 1238.0179969388778);171.9057695972301;0
1703097231890282;1703097231890267;uav3;(1216.9337954308219, 1238.4361116807754);176.96182164420745;0
1703097231990686;1703097231990673;uav3;(1216.9337954308219, 1238.4361116807754);176.96182164420745;0
1703097232090025;1703097232090014;uav3;(1221.972529633412, 1238.854226422673);182.0178736911848;0
1703097232193130;1703097232193079;uav3;(1221.972529633412, 1238.854226422673);182.0178736911848;0
1703097232293193;1703097232293155;uav3;(1227.0112638360022, 1239.2723411645707);187.07392573816216;0
1703097232393787;1703097232393750;uav3;(1227.0112638360022, 1239.2723411645707);187.07392573816216;0
1703097232491805;1703097232491792;uav3;(1232.0499980385923, 1239.6904559064683);192.12997778513952;0
1703097232590479;1703097232590464;uav3;(1232.0499980385923, 1239.6904559064683);192.12997778513952;0
1703097232690214;1703097232690202;uav3;(1237.0887322411825, 1240.108570648366);197.18602983211687;0
1703097232790463;1703097232790450;uav3;(1237.0887322411825, 1240.108570648366);197.18602983211687;0
1703097232892163;1703097232892125;uav3;(1242.1274664437726, 1240.5266853902635);202.24208187909423;0
1703097232992309;1703097232992252;uav3;(1242.1274664437726, 1240.5266853902635);202.24208187909423;0
1703097233090403;1703097233090388;uav3;(1247.1662006463628, 1240.9448001321612);207.29813392607159;0
1703097233192388;1703097233192350;uav3;(1247.1662006463628, 1240.9448001321612);207.29813392607159;0
1703097233291059;1703097233291041;uav3;(1252.204934848953, 1241.3629148740588);212.35418597304894;0
1703097233391478;1703097233391439;uav3;(1252.204934848953, 1241.3629148740588);212.35418597304894;0
1703097233495994;1703097233495977;uav3;(1257.243669051543, 1241.7810296159564);217.4102380200263;0
1703097233591089;1703097233591070;uav3;(1257.243669051543, 1241.7810296159564);217.4102380200263;0
1703097233691837;1703097233691802;uav3;(1262.2824032541332, 1242.199144357854);222.46629006700365;0
1703097233792570;1703097233792534;uav3;(1262.2824032541332, 1242.199144357854);222.46629006700365;0
1703097233893007;1703097233892891;uav3;(1267.3211374567234, 1242.6172590997517);227.522342113981;0
1703097233992410;1703097233992375;uav3;(1267.3211374567234, 1242.6172590997517);227.522342113981;0
1703097234093601;1703097234093590;uav3;(1272.3598716593135, 1243.0353738416493);232.57839416095837;0
1703097234190154;1703097234190142;uav3;(1272.3598716593135, 1243.0353738416493);232.57839416095837;0
1703097234291233;1703097234291212;uav3;(1272.3598716593135, 1243.0353738416493);232.57839416095837;0
1703097234393122;1703097234393075;uav3;(1277.3986058619037, 1243.453488583547);237.63444620793572;0
1703097234492012;1703097234491986;uav3;(1277.3986058619037, 1243.453488583547);237.63444620793572;0
1703097234590705;1703097234590691;uav3;(1282.4373400644938, 1243.8716033254445);242.69049825491308;0
1703097234691867;1703097234691832;uav3;(1282.4373400644938, 1243.8716033254445);242.69049825491308;0
1703097234792528;1703097234792477;uav3;(1287.476074267084, 1244.2897180673422);247.74655030189044;0
1703097234891685;1703097234891661;uav3;(1287.476074267084, 1244.2897180673422);247.74655030189044;0
1703097234991314;1703097234991288;uav3;(1292.514808469674, 1244.7078328092398);252.8026023488678;0
1703097235091338;1703097235091314;uav3;(1292.514808469674, 1244.7078328092398);252.8026023488678;0
1703097235190580;1703097235190566;uav3;(1297.5535426722643, 1245.1259475511374);257.8586543958451;0
1703097235290886;1703097235290864;uav3;(1297.5535426722643, 1245.1259475511374);257.8586543958451;0
1703097235391918;1703097235391865;uav3;(1302.5922768748544, 1245.544062293035);262.9147064428225;0
1703097235492324;1703097235492289;uav3;(1302.5922768748544, 1245.544062293035);262.9147064428225;0
1703097235592451;1703097235592425;uav3;(1307.6310110774446, 1245.9621770349327);267.97075848979983;0
1703097235690713;1703097235690696;uav3;(1307.6310110774446, 1245.9621770349327);267.97075848979983;0
1703097235791265;1703097235791171;uav3;(1312.6697452800347, 1246.3802917768303);273.0268105367772;0
1703097235891062;1703097235891043;uav3;(1312.6697452800347, 1246.3802917768303);273.0268105367772;0
1703097235991121;1703097235991099;uav3;(1317.7084794826249, 1246.798406518728);278.08286258375455;0
1703097236090462;1703097236090449;uav3;(1317.7084794826249, 1246.798406518728);278.08286258375455;0
1703097236190737;1703097236190716;uav3;(1322.747213685215, 1247.2165212606255);283.1389146307319;0
1703097236290979;1703097236290961;uav3;(1322.747213685215, 1247.2165212606255);283.1389146307319;0
1703097236390721;1703097236390706;uav3;(1327.7859478878052, 1247.6346360025232);288.19496667770926;0
1703097236490390;1703097236490377;uav3;(1327.7859478878052, 1247.6346360025232);288.19496667770926;0
1703097236591347;1703097236591321;uav3;(1332.8246820903953, 1248.0527507444208);293.2510187246866;0
1703097236691414;1703097236691390;uav3;(1332.8246820903953, 1248.0527507444208);293.2510187246866;0
1703097236791599;1703097236791566;uav3;(1337.8634162929854, 1248.4708654863184);298.307070771664;0
1703097236890614;1703097236890602;uav3;(1337.8634162929854, 1248.4708654863184);298.307070771664;0
1703097236990464;1703097236990448;uav3;(1342.9021504955756, 1248.888980228216);303.36312281864133;0
1703097237094198;1703097237094163;uav3;(1342.9021504955756, 1248.888980228216);303.36312281864133;0
1703097237191546;1703097237191520;uav3;(1347.9408846981657, 1249.3070949701137);308.4191748656187;0
1703097237291526;1703097237291500;uav3;(1347.9408846981657, 1249.3070949701137);308.4191748656187;0
1703097237391771;1703097237391745;uav3;(1352.979618900756, 1249.7252097120113);313.47522691259604;0
1703097237490717;1703097237490704;uav3;(1352.979618900756, 1249.7252097120113);313.47522691259604;0
1703097237590956;1703097237590922;uav3;(1358.018353103346, 1250.143324453909);318.5312789595734;0
1703097237693528;1703097237693491;uav3;(1358.018353103346, 1250.143324453909);318.5312789595734;0
1703097237793515;1703097237793477;uav3;(1363.0570873059362, 1250.5614391958065);323.58733100655076;0
1703097237893369;1703097237893319;uav3;(1363.0570873059362, 1250.5614391958065);323.58733100655076;0
1703097237992171;1703097237992155;uav3;(1368.0958215085263, 1250.9795539377042);328.6433830535281;0
1703097238090580;1703097238090566;uav3;(1368.0958215085263, 1250.9795539377042);328.6433830535281;0
1703097238190897;1703097238190874;uav3;(1373.1345557111165, 1251.3976686796018);333.69943510050547;0
1703097238290836;1703097238290791;uav3;(1373.1345557111165, 1251.3976686796018);333.69943510050547;0
1703097238392856;1703097238392817;uav3;(1378.1732899137066, 1251.8157834214994);338.7554871474828;0
1703097238492279;1703097238492253;uav3;(1378.1732899137066, 1251.8157834214994);338.7554871474828;0
1703097238591157;1703097238591134;uav3;(1383.2120241162968, 1252.233898163397);343.8115391944602;0
1703097238693491;1703097238693454;uav3;(1383.2120241162968, 1252.233898163397);343.8115391944602;0
1703097238793329;1703097238793291;uav3;(1388.250758318887, 1252.6520129052947);348.86759124143754;0
1703097238892089;1703097238892064;uav3;(1388.250758318887, 1252.6520129052947);348.86759124143754;0
1703097238991408;1703097238991382;uav3;(1393.289492521477, 1253.0701276471923);353.9236432884149;0
1703097239091591;1703097239091566;uav3;(1393.289492521477, 1253.0701276471923);353.9236432884149;0
1703097239193428;1703097239193392;uav3;(1398.3282267240672, 1253.48824238909);358.97969533539225;0
1703097239292236;1703097239292214;uav3;(1398.3282267240672, 1253.48824238909);358.97969533539225;0
1703097239391163;1703097239391141;uav3;(1403.3669609266574, 1253.9063571309875);364.0357473823696;0
1703097239491028;1703097239491002;uav3;(1403.3669609266574, 1253.9063571309875);364.0357473823696;0
1703097239591330;1703097239591302;uav3;(1408.4056951292475, 1254.3244718728852);369.09179942934696;0
1703097239690415;1703097239690404;uav3;(1408.4056951292475, 1254.3244718728852);369.09179942934696;0
1703097239791030;1703097239790998;uav3;(1413.4444293318377, 1254.7425866147828);374.1478514763243;0
1703097239891196;1703097239891175;uav3;(1413.4444293318377, 1254.7425866147828);374.1478514763243;0
1703097239991516;1703097239991489;uav3;(1418.4831635344278, 1255.1607013566804);379.2039035233017;0
1703097240091226;1703097240091205;uav3;(1418.4831635344278, 1255.1607013566804);379.2039035233017;0
1703097240191251;1703097240191236;uav3;(1423.521897737018, 1255.578816098578);384.25995557027903;0
1703097240292355;1703097240292315;uav3;(1423.521897737018, 1255.578816098578);384.25995557027903;0
1703097240391229;1703097240391209;uav3;(1428.5606319396081, 1255.9969308404757);389.3160076172564;0
1703097240492834;1703097240492798;uav3;(1428.5606319396081, 1255.9969308404757);389.3160076172564;0
1703097240592151;1703097240592068;uav3;(1433.5993661421983, 1256.4150455823733);394.37205966423375;0
1703097240692206;1703097240692178;uav3;(1433.5993661421983, 1256.4150455823733);394.37205966423375;0
1703097240791247;1703097240791232;uav3;(1438.6381003447884, 1256.833160324271);399.4281117112111;0
1703097240891912;1703097240891873;uav3;(1438.6381003447884, 1256.833160324271);399.4281117112111;0
1703097240991228;1703097240991214;uav3;(1443.6768345473786, 1257.2512750661685);404.48416375818846;0
1703097241090128;1703097241090117;uav3;(1443.6768345473786, 1257.2512750661685);404.48416375818846;0
1703097241191053;1703097241190989;uav3;(1448.7155687499687, 1257.6693898080662);409.5402158051658;0
1703097241290682;1703097241290668;uav3;(1448.7155687499687, 1257.6693898080662);409.5402158051658;0
1703097241392395;1703097241392352;uav3;(1453.7543029525589, 1258.0875045499638);414.59626785214317;0
1703097241491983;1703097241491958;uav3;(1453.7543029525589, 1258.0875045499638);414.59626785214317;0
1703097241591583;1703097241591558;uav3;(1458.793037155149, 1258.5056192918614);419.6523198991205;0
1703097241691067;1703097241691047;uav3;(1458.793037155149, 1258.5056192918614);419.6523198991205;0
1703097241791524;1703097241791460;uav3;(1463.8317713577392, 1258.923734033759);424.7083719460979;0
1703097241890623;1703097241890611;uav3;(1463.8317713577392, 1258.923734033759);424.7083719460979;0
1703097241990959;1703097241990933;uav3;(1468.8705055603293, 1259.3418487756567);429.76442399307524;0
1703097242091296;1703097242091261;uav3;(1468.8705055603293, 1259.3418487756567);429.76442399307524;0
1703097242191423;1703097242191398;uav3;(1473.9092397629195, 1259.7599635175543);434.8204760400526;0
1703097242292899;1703097242292855;uav3;(1473.9092397629195, 1259.7599635175543);434.8204760400526;0
1703097242391386;1703097242391369;uav3;(1478.9479739655096, 1260.178078259452);439.87652808702995;0
1703097242491761;1703097242491728;uav3;(1478.9479739655096, 1260.178078259452);439.87652808702995;0
1703097242593020;1703097242592972;uav3;(1483.9867081680998, 1260.5961930013495);444.9325801340073;0
1703097242691391;1703097242691375;uav3;(1483.9867081680998, 1260.5961930013495);444.9325801340073;0
1703097242791359;1703097242791332;uav3;(1489.02544237069, 1261.0143077432472);449.98863218098467;0
1703097242891639;1703097242891613;uav3;(1489.02544237069, 1261.0143077432472);449.98863218098467;0
1703097242990539;1703097242990524;uav3;(1494.06417657328, 1261.4324224851448);455.044684227962;0
1703097243092112;1703097243092077;uav3;(1494.06417657328, 1261.4324224851448);455.044684227962;0
1703097243192970;1703097243192932;uav3;(1499.1029107758702, 1261.8505372270424);460.1007362749394;0
1703097243291217;1703097243291201;uav3;(1499.1029107758702, 1261.8505372270424);460.1007362749394;0
1703097243390977;1703097243390955;uav3;(1504.1416449784604, 1262.26865196894);465.15678832191674;0
1703097243490528;1703097243490514;uav3;(1504.1416449784604, 1262.26865196894);465.15678832191674;0
1703097243591478;1703097243591451;uav3;(1509.1803791810505, 1262.6867667108377);470.2128403688941;0
1703097243690778;1703097243690766;uav3;(1509.1803791810505, 1262.6867667108377);470.2128403688941;0
