time;created;id;aircraft;position;vel;status;inspector_UAV;inspector_UAV_position
1703095463814173;1703095463545809;0xf7e70a2a;wt4;[0, 770];0;OK;uav2;[193.89395705235268, 541.2666541574837]
1703095541418257;1703095439595683;0xc70f9214;wt8;[770, 1540];0;OK;uav1;[951.95657917884, 1303.5282369003996]
1703095564596387;1703095563940723;0x554f0838;wt5;[770, 770];0;OK;uav3;[569.8425328384832, 991.6533500906548]
