time;created;id;aircraft;position;vel;status;inspector_UAV;inspector_UAV_position
1703095541588821;1703095439595683;0xc70f9214;wt8;[770, 1540];0;OK;uav1;[951.95657917884, 1303.5282369003996]
1703095564468819;1703095563940723;0x554f0838;wt5;[770, 770];0;OK;uav3;[569.8425328384832, 991.6533500906548]
